,filename,link,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_data
0,1638,http://assets.myntassets.com/v1/images/style/properties/332172e96e45f1a6d5ba979215736176_images.jpg,1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Fall,2010.0,Sports,Nabaiji Swimming Goggles Blue Black,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1326674D0>
1,32903,http://assets.myntassets.com/v1/images/style/properties/Allen-Solly-Women-Red-Shorts_a99033bbbb95bbf0b9cc2945a99e5f18_images.jpg,32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,2012.0,Casual,Allen Solly Women Red Shorts,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x132434980>
2,39381,http://assets.myntassets.com/v1/images/style/properties/78bf924de236777a9bc6662b076449e4_images.jpg,39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Peter England Men Party Black Jeans,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132457050>
3,12163,http://assets.myntassets.com/v1/images/style/properties/8c29f66ec78e78081504b6ad73e6af8b_images.jpg,12163,Women,Apparel,Bottomwear,Leggings,Purple,Fall,2011.0,Ethnic,Aurelia Women Solid Purple Leggings,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x13267E7E0>
4,1607,http://assets.myntassets.com/v1/images/style/properties/b9828d5eb23f75d6cb4ba5a66f292b83_images.jpg,1607,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2010.0,Sports,Reebok Men trackpant- male Track Pants,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x132893800>
5,28458,http://assets.myntassets.com/v1/images/style/properties/2602e7d55d1b5f690c7baedfbc98a219_images.jpg,28458,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Capris,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x13267E660>
6,12155,http://assets.myntassets.com/v1/images/style/properties/cded5e2f6f4a18a4bd4d7e79566e7fa0_images.jpg,12155,Women,Apparel,Bottomwear,Leggings,Beige,Fall,2011.0,Ethnic,Aurelia Women Solid Beige Leggings,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132526B70>
7,10261,http://assets.myntassets.com/v1/images/style/properties/43689446729c4a4b9f6872f4f31593ce_images.jpg,10261,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011.0,Formal,John Miller Men Slim Brown Trousers,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1225742C0>
8,27625,http://assets.myntassets.com/v1/images/style/properties/1d48a740b52980e02294280c42140d77_images.jpg,27625,Men,Apparel,Bottomwear,Shorts,Grey,Summer,2012.0,Casual,Scullers Men Grey Shorts,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1326294F0>
9,57136,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Black-Trousers_70c834b2f56887df3ce0d292beb39fad_images.jpg,57136,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Casual,Elle Women Black Trousers,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x1325EA150>
10,15111,http://assets.myntassets.com/v1/images/style/properties/69fe2e43895d41920a68d1d73fa8a105_images.jpg,15111,Men,Apparel,Bottomwear,Trousers,Coffee Brown,Fall,2011.0,Formal,Arrow Men Stripes Coffee Brown Trousers,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328B1850>
11,27018,http://assets.myntassets.com/v1/images/style/properties/c3c02ca9eff02b8a9aed552288fe5914_images.jpg,27018,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328B0140>
12,58571,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Black-Short_18d7937fb5d087ebe34d60c3818484bc_images.jpg,58571,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Casual,Puma Men Black Shorts,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x1328B1B80>
13,41000,http://assets.myntassets.com/v1/images/style/properties/4882420c3607228a30540b5b99aba1d4_images.jpg,41000,Girls,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini and Jony Girls Woven Blue Shorts,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328B1AF0>
14,13671,http://assets.myntassets.com/v1/images/style/properties/c0c2cdab64907ed343c583467e99a15f_images.jpg,13671,Unisex,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Levis Kids Blue Solid Jean,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328B08F0>
15,51602,http://assets.myntassets.com/v1/images/style/properties/Wrangler-Women-Blue-Molly-Jeans_f34d61092bdd940620b43e9e429d673c_images.jpg,51602,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2012.0,Casual,Wrangler Women Blue Molly Jeans,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x1328B0E90>
16,4773,http://assets.myntassets.com/v1/images/style/properties/ae094e99b3c940e0192e78afcc3c7b4b_images.jpg,4773,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011.0,Sports,ADIDAS Women 3S Blue Capri,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328B01D0>
17,26139,http://assets.myntassets.com/v1/images/style/properties/9af96ff551b573596a36aa028ebb436f_images.jpg,26139,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Formal,John Miller Men Grey Trousers,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132667590>
18,27016,http://assets.myntassets.com/v1/images/style/properties/d739ac6b6030b6ff6595dd9a15934fb9_images.jpg,27016,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Jealous 21 Women Washed Blue Jeans,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x13267E8A0>
19,50382,http://assets.myntassets.com/v1/images/style/properties/Vishudh-Women-Printed-White-Salwar-and-Dupatta_69ab4912f17b4d1b0e3eec34f8c4199b_images.jpg,50382,Women,Apparel,Bottomwear,Salwar and Dupatta,Cream,Summer,2012.0,Ethnic,Vishudh Women Printed Cream Salwar and Dupatta,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x1328751F0>
20,29178,http://assets.myntassets.com/v1/images/style/properties/83c62173527ba1a605d126f07f31538e_images.jpg,29178,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Washed Blue Jeans,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132456C90>
21,39745,http://assets.myntassets.com/v1/images/style/properties/bccf1b8ee74179b0b8465bcfdf80f46c_images.jpg,39745,Boys,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Gini Jony Boys Blue Shorts,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132874C80>
22,35940,http://assets.myntassets.com/v1/images/style/properties/45c857e0c5db5b90c31ff7374e1b5ffa_images.jpg,35940,Women,Apparel,Bottomwear,Capris,Black,Summer,2012.0,Casual,Flying Machine Women Viscose Black Capris,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132874680>
23,50385,http://assets.myntassets.com/v1/images/style/properties/Vishudh-Women-Pink-Salwar-and-Dupatta_0490cabd124df4ae2a826af306b2c094_images.jpg,50385,Women,Apparel,Bottomwear,Salwar and Dupatta,Pink,Fall,2012.0,Ethnic,Vishudh Women Pink Salwar and Dupatta,<PIL.Image.Image image mode=RGB size=1080x1440 at 0x132875160>
24,7557,http://assets.myntassets.com/v1/images/style/properties/38b31d4fd23158696f95b8d2d09d2f7a_images.jpg,7557,Men,Apparel,Bottomwear,Shorts,Green,Summer,2011.0,Sports,Nike Men's Tempo 5 Green Short,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132876000>
25,12759,http://assets.myntassets.com/v1/images/style/properties/d13e53b9f61c0c9b497a1615d425c199_images.jpg,12759,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Spykar Women Washed Blue Jeans,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328761E0>
26,11128,http://assets.myntassets.com/v1/images/style/properties/110724ed3abf2ecb68860d90df11d2fa_images.jpg,11128,Men,Apparel,Bottomwear,Track Pants,Beige,Fall,2011.0,Sports,Urban Yoga Men Solid Beige Track Pants,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132875850>
27,28630,http://assets.myntassets.com/v1/images/style/properties/d43ec8fe2ba21e745607f36656f55c00_images.jpg,28630,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Sports,Nike Men Pintuck Grey Track Pants,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132875520>
28,39326,http://assets.myntassets.com/v1/images/style/properties/359391f6a4b560ca2821952c86f2528d_images.jpg,39326,Girls,Apparel,Bottomwear,Leggings,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Leggings,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328743B0>
29,4980,http://assets.myntassets.com/v1/images/style/properties/b791e8e0efd2b9b9b596e4e1100e4408_images.jpg,4980,Women,Apparel,Bottomwear,Shorts,Blue,Summer,2011.0,Casual,Palm Tree Girl's Benita Blue Kidswear,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132875670>
30,33815,http://assets.myntassets.com/v1/images/style/properties/50ed1e6315e05b074501ba6a07f68fb2_images.jpg,33815,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Van Heusen Men Classic Pleated Black Trousers,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328744D0>
31,21385,http://assets.myntassets.com/v1/images/style/properties/5feb55188f8b66b8f75d8468d6719955_images.jpg,21385,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Casual,Manchester United Men Solid Navy Blue Track Pants,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132875940>
32,12537,http://assets.myntassets.com/v1/images/style/properties/7a40165ee734f19aa6bfc9899b209ee7_images.jpg,12537,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Casual,Puma Men Solid Grey Track Pants,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x1328749E0>
33,10052,http://assets.myntassets.com/v1/images/style/properties/575ec204c6922cbdf81a7303d8bf8f23_images.jpg,10052,Women,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,Puma Women Trunk Black Shorts,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132874980>
34,26508,http://assets.myntassets.com/v1/images/style/properties/1d13719ad94bf2e34d47a9e482d95f76_images.jpg,26508,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2013.0,Casual,Arrow Sport Men Brown Trousers,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132874650>
35,23870,http://assets.myntassets.com/v1/images/style/properties/bbf57bc03a5fd1475252faa209a70b22_images.jpg,23870,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,ADIDAS Men Black  Track Pant,<PIL.Image.Image image mode=RGB size=1800x2400 at 0x132874DA0>
